SMILES	pIC50 (SARS-CoV-2 Mpro)	pIC50 (MERS-CoV Mpro)
COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|	5.23	4.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC(C(F)F)=NO2)C1 |&1:16|	4.62	nan
CN1C=C([C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=N1 |&1:4|	4.27	nan
CC1=CSC(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|	4.17	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2[C@@](C3=CC=CC=C3)(C1)CS2(=O)=O |&1:15,16|	4.75	nan
O=C(C1=CC=CS1)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.78	nan
CC1=NN(C[C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C)=C1 |&1:5|	4.19	nan
C[C@H]1CCC[C@H](CCN(C)C)N1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:5|	4.24	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NOC=C2C1	5.49	4.5
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=CC(F)=C2)C1 |&1:16|	4.86	nan
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H](C)CC1=O |&1:1,&2:17|	4.14	nan
CN1C=C([C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2(C)C)C=N1 |&1:4|	4.34	nan
C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|	5.32	5.57
CC1=NN=C([C@H]2CCCCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:5|	4.01	nan
CCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:4|	4.34	nan
COC1=CC=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:9|	4.41	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CN2CCCC2=O)CC1	4.46	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C(F)(F)C(F)(F)C1	4.25	nan
CCC1=NC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=NO1 |&1:5|	4.2	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]21 |&1:16,20|	4.21	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CS2)C1 |&1:16|	5.11	nan
COC1=CC=CC=C1C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:9|	4.88	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@@H]2C(F)(F)F |a:15,16,18|	4.3	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]2C1 |&1:16,19|	4.99	5.22
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)C[C@H]2F |&1:20|	5.11	4.57
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCO2)CC1 |&1:17|	4.43	nan
COC[C@H]1CC12CCN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2 |&1:3|	4.59	nan
CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:2,&2:20|	4.45	4.99
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOCC2)CC1	4.3	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2(F)F	5.2	nan
CO[C@H](C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|	5.34	4.12
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]2C1 |&1:16,&2:20|	4.28	4.07
C[C@H]1[C@@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |a:1,2,19|	5.0	nan
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1F |&1:1,19|	5.51	5.34
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C(F)(F)F)C1 |&1:1,18|	5.43	5.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H]2CCCO2)CC1 |&1:17|	4.52	nan
COC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.59	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(F)CC1	5.17	5.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCO2)CC1	4.57	nan
C[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3|	5.93	5.56
CC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.31	5.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CC2)CC1	5.56	4.01
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2[C@H](C1)[C@H]2C(F)(F)F |a:15,16,18|	5.32	4.65
COC[C@@H]1[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:3,4,22|	4.26	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CS(=O)(=O)C2	4.32	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCC2)CC1	5.79	4.67
COC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C1	5.36	4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCS2(=O)=O	4.6	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCC2)CC1	5.85	5.14
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCO2)CC1	4.95	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCOC2)CC1	4.97	nan
O=C1NC[C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CC[C@@H]12 |&1:4,22|	4.06	nan
O=C1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)CN1	4.16	nan
CC(C)O[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |&1:4,21|	4.39	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CC2)CC1	4.29	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCO2)CC1	5.24	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]2C1 |&1:16,20|	5.67	5.35
C[C@H]1[C@@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]12 |&1:1,2,20|	5.58	5.34
CC[C@H](C)OC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |&1:2|	4.33	nan
COCCC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.0	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CC2)CC1	5.77	4.81
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1(F)F |&1:1|	5.4	5.01
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |a:1,18|	5.49	5.2
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COCCO2	4.88	nan
CO[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C)C1 |&1:2,19|	4.55	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CC2	5.15	4.66
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H]2C1 |&1:16,&2:18|	4.55	4.62
COC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.76	nan
O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@@H]21 |&1:27,33|	4.93	4.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)COC2	4.27	nan
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |&1:1,&2:19|	5.53	4.85
CO[C@@H]1C[C@@H]2C[C@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,4,6|	4.27	nan
COC(C)(C)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.08	nan
CC1=NC2=CC=CC=C2N1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:11|	nan	4.3
CN(C)[C@]1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:3|	4.19	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CNC3=CC=CC=C23)C1 |&1:17|	4.57	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(F)C(F)=C2)C1 |&1:16|	4.71	nan
C[C@H]1CCC[C@@H](CNC(=O)C(F)(F)F)N1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,5|	4.42	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCS(=O)(=O)[C@H]2C1 |&1:15,22|	4.04	nan
CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C2=CC=CC=C21 |&1:4|	4.76	4.6
CN1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C2=CC=CC=C21	4.54	4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CCC[C@H]1C1=C(C2)NN=C1 |&1:14,&2:18|	4.82	nan
C[C@H]1C[C@H](C2CCCCC2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|	5.22	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CCC1=CC=CC=C1 |&1:17|	4.83	nan
CC[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1C1=CC=C(OC)C=C1 |&1:2,19|	4.88	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(C[C@H]1C(F)(F)F)OCCO2 |&1:18|	4.78	nan
CC1=CC=CC=C1[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:7,&2:9|	4.86	nan
COCC1(F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.63	nan
COC1=CC=CC([C@H](C)[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7,&2:9|	4.79	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(OC2CCC2)CC1	4.3	nan
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@H]12 |&1:1,&2:18,&3:23|	5.28	nan
N#C[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|	4.46	nan
O=C1C[C@H]2COC[C@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:3,&2:7|	4.27	nan
CN1N=CC=C1C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:7|	4.12	4.36
CC1=NC=CC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3CNC3=NN=C(C(F)(F)F)S3)C3=CC(Cl)=CC=C3C2=O)=N1 |a:9,24|	7.36	7.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)CC2(CCC2)C1	4.22	nan
C[C@H]1C[C@H](C2=CC=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|	5.11	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |&1:16|	5.62	4.74
C[C@H]1C[C@H](C2=CC=CC=C2)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:3|	4.85	nan
CN1CCC[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:5,&2:23|	4.37	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](OC2=CC=CC=C2)C1 |&1:17|	4.27	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |&1:15,18,19|	5.26	4.84
COC1=CC=CC([C@H]2C[C@H](C)CN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:7,&2:9|	5.02	5.5
C[C@H]1C[C@H](C)N(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1,&2:3|	4.38	4.26
N#CC1[C@H]2CC[C@H]1CN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:3,&2:6|	4.86	nan
CN(C[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:3|	4.91	nan
CCN1C=CN=C1[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:7|	4.14	4.22
CS(=O)(=O)C[C@@H]1C[C@@H]2CCC[C@@H]2N1C(=O)CC1=CN=CC2=CC=CC=C12 |a:5,7,11|	4.22	nan
CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |&1:6,8|	6.27	6.01
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1CS(=O)(=O)C2 |&1:14,&2:17|	4.31	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(NC2=CC=CC3=NC=CC=C23)CC1	4.07	nan
COC1=CC=CC([C@]2(F)CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|	4.87	nan
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=CNN=C21 |&1:1|	4.09	nan
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@@H]2C[C@H]1CN2C1=CC=CC=C1 |a:15,17|	4.14	nan
N#CC1CC2(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C1	4.06	nan
COCC(=O)[C@H]1CCCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:5|	4.06	nan
COC1=CC=CC=C1OC[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |a:10|	4.14	4.88
CN(C)C1=NOC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:7|	nan	4.51
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |&1:17|	5.27	4.01
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=CO1 |a:9,32|	8.18	7.12
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|	5.35	3.55
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1 |o1:16|	5.54	4.53
C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|	5.79	5.22
C[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |o1:1|	5.55	5.13
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|	5.76	4.09
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CCCCCC[C@@H]2C1 |o1:15,22|	6.03	4.08
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|	5.16	4.53
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1 |o1:16|	5.34	4.11
COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|	5.87	6.22
COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:8,10|	6.19	6.16
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|	6.28	5.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1 |o1:16,23|	5.33	4.08
C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|	5.49	5.77
C[C@H]1CC(F)(F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|	5.29	5.59
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|	5.03	4.85
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1 |o1:16|	5.28	4.06
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|	5.23	4.7
CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:2|	5.15	4.48
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|	5.15	4.26
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1 |o1:1,18|	5.34	5.27
CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|	6.13	5.49
CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:2,4|	5.92	5.87
COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|	5.28	4.05
COC1=CC=CC(C[C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |o1:8|	5.36	4.57
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|	5.45	4.83
O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2C=CC[C@@H]1CCC2 |o1:14,18|	4.95	4.61
CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|	5.1	4.46
CC(C)[C@]1(C#N)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |o1:3|	6.23	4.42
CC1=CSC2=C1CN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2	6.48	4.99
CC1=NN=C(NC[C@H]2CN(C3=CN=CC4=CC=CC=C34)C(=O)[C@@]23CN(CC2=NNC=C2)C(=O)C2=CC=C(Cl)C=C23)O1 |a:7,22|	7.68	6.93
CC1=CC2=C(CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)S1	5.38	3.98
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|	4.75	4.58
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2CC[C@H]2[C@H]1C1=CC=CC=C1 |o1:15,18,19|	5.44	5.02
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|	4.26	4.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1F |o1:17|	5.61	4.09
O=C(CC1=CC=CN=C1)N1CCC2=C(C=CS2)C1	4.47	4.4
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CC[C@H]1C2 |&1:16,&2:19|	4.67	4.81
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|	5.49	4.41
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@H]2C(=O)NC[C@@H]12 |o1:1,18,23|	5.21	4.65
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CCC12COC2 |&1:1|	4.03	4.29
C[C@H]1C[C@H]2C[C@@H]1CN2C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,3,5|	4.98	4.78
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1O |&1:1,19|	nan	4.93
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(O)CC1C2	nan	4.22
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@@H]1O |&1:1,19|	4.6	4.06
CCC1=CC=C([C@H]2C[C@H](C)CCN2C(=O)CC2=CN=CC3=CC=CC=C23)O1 |o1:6,8|	5.93	5.22
C[C@@H](O)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1 |a:1|	4.32	4.35
N#CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.74	4.01
CN1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	nan	4.34
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|	5.18	4.5
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC(F)(F)F)C1 |o1:16|	5.99	4.92
C[C@H]1CN(C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|	nan	4.92
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@@H]1C2 |a:16,18|	4.39	4.48
C[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)CC1=CN=CC2=CC=CC=C12 |a:1,3,6|	5.38	4.82
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@H]2C1 |&1:15,&2:17|	4.19	4.23
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2COC[C@H]1C2 |&1:16,&2:20|	4.14	4.07
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC[C@H]1C2 |&1:16,&2:20|	4.97	5.06
CC1(O)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.62	4.38
CO[C@@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC[C@H]1C |&1:2,20|	5.07	4.45
CC1(C)[C@H]2CN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]21 |&1:3,&2:20|	5.46	5.2
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H]2C[C@@H]1[C@@H]1C[C@H]21 |&1:15,17,18,20|	4.44	4.06
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CF)CC1	5.63	5.16
COCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	4.93	4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2C[C@H](O)C[C@H]2C1 |&1:16,21,&2:18|	4.16	4.87
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1CC1 |&1:21|	6.49	5.1
CC1=CC=C2CN(C(=O)CC3=CN=CC4=CC=CC=C34)CCC2=N1	4.44	4.35
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](O)C2CC1C2 |&1:15|	nan	4.31
CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|	6.86	5.53
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2[C@H](F)[C@H]2C1 |&1:16,&2:17,&3:19|	5.2	5.15
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@]2(O)C[C@H]2C1 |&1:16,19|	nan	4.61
O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CC1=NNC=C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NN=C(C(F)(F)F)S1 |a:9,32|	7.34	7.22
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(C(F)(F)F)C=C2C1	4.4	4.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC(C(F)(F)F)=CC=C2C1	4.13	4.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=CC=C2C1	4.26	4.28
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|	6.48	5.21
C[C@H]1C2=CC=CN=C2CCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1|	4.34	4.28
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(O)C=C2C1	nan	4.24
CC1=CN=C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2=C1	5.03	4.76
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |&1:1|	5.7	4.48
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=C(C=CS2)[C@H]1C1=CC=CC=C1 |&1:21|	6.88	5.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC(F)(F)F)CC1	5.69	4.41
CC(C)[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |o1:3|	5.49	4.6
COC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:3|	6.3	5.23
O=C(COS(=O)(=O)NCC1=CC=CC=C1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:27,33|	5.55	5.1
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|	5.16	4.51
C[C@H]1CC2=C(C=CS2)CN1C(=O)CC1=CN=CC2=CC=CC=C12 |o1:1|	6.7	5.29
C[C@H](C(=O)N1CCC2=C(C=CS2)C1)C1=CN=CC2=CC=CC=C12 |&1:1|	4.09	4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=NC=C(Cl)C=C2C1	4.48	4.29
CNC(=O)C[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:5|	nan	4.25
CC(C)(F)C1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	6.02	4.6
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H](C(F)(F)F)C1 |a:17|	4.74	4.0
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|	5.26	4.88
C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1C |o1:1,19|	4.9	4.57
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(F)(F)F)CC1 |&1:17|	6.33	5.59
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|	5.34	4.21
C[C@H]1CN(C(=O)CC2=CN=CC3=CC=CC=C23)CC2=C1SC=C2 |o1:1|	5.92	4.6
C#CC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	5.33	4.99
N#CC[C@@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |a:3|	4.34	4.3
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCO)C1 |a:17|	4.1	4.26
CCC1(C)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1	6.13	5.3
O=C(CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCC1	5.75	4.87
CNC(=O)CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12	5.36	4.64
